benchmark,task_id,discrimination,a0,a1,easiness
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,0.29651936888694763,0.2938529849052429,0.03967568278312683,-0.07353831827640533
assistantbench,929b45f34805280d77c61d1e093e3d4e551d77ddb6ecd73552b12b1af286388d,0.2892443537712097,0.05620073527097702,-0.2837318778038025,-0.03148338943719864
assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,0.25080835819244385,0.2385139763355255,-0.0775623619556427,-0.04873247817158699
assistantbench,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,0.24640585482120514,0.216510608792305,-0.11763928085565567,-0.040201492607593536
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,0.2452164888381958,0.1308770328760147,-0.20737002789974213,-0.03717788681387901
assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,0.2442716807126999,0.22256264090538025,-0.10067038238048553,-0.04022195562720299
assistantbench,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,0.24377906322479248,0.19164341688156128,-0.15066862106323242,-0.03830600902438164
assistantbench,fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,0.24266445636749268,0.22477775812149048,-0.09143848717212677,-0.04877401143312454
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,0.24032652378082275,0.1817486435174942,-0.15723952651023865,-0.038898348808288574
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,0.236125186085701,0.11495957523584366,-0.20625081658363342,-0.04376121237874031
assistantbench,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,0.23412522673606873,0.20716172456741333,-0.10908088833093643,-0.04772388935089111
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,0.23360532522201538,0.21574576199054718,-0.08958358317613602,-0.04959104210138321
assistantbench,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,0.2297031581401825,0.1487293392419815,-0.17505179345607758,-0.045380450785160065
assistantbench,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,0.22882366180419922,0.1945538967847824,-0.12045351415872574,-0.04077800363302231
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,0.22755669057369232,0.09953557699918747,-0.20463313162326813,-0.05205646529793739
assistantbench,8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,0.22592929005622864,-0.19069801270961761,0.12115407735109329,0.09051964432001114
assistantbench,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,0.21724353730678558,0.1626000851392746,-0.14406931400299072,-0.046411171555519104
assistantbench,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,0.2108330875635147,0.18652626872062683,-0.09827787429094315,-0.05559336021542549
assistantbench,9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,0.20727519690990448,0.12761613726615906,-0.16333134472370148,-0.05079098045825958
assistantbench,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,0.20444288849830627,0.03396005183458328,-0.20160259306430817,-0.048178836703300476
assistantbench,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,0.18375054001808167,0.12188680469989777,-0.1375058889389038,-0.056654565036296844
assistantbench,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,0.1730894297361374,0.11801276355981827,-0.12662123143672943,-0.07340691238641739
assistantbench,55f4258484c5b398956133128a50462a767da211f8f72aa5ac5bbffb9bcbba1a,0.1496751457452774,-0.1494494080543518,0.00821723509579897,-0.0027268684934824705
assistantbench,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,0.14874793589115143,-0.13853304088115692,-0.054171424359083176,0.029796378687024117
assistantbench,6f224e7730ed027cbac73aebb1aea7f954053082041b02b19f4ff126a0a8a208,0.12430520355701447,0.06834658980369568,0.10382931679487228,-0.0017235192935913801
assistantbench,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,0.11874450743198395,-0.10152441263198853,-0.06158774346113205,-0.03351772576570511
assistantbench,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,0.11536450684070587,0.10540743917226791,0.046885401010513306,-0.012477332726120949
assistantbench,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,0.10185518860816956,-0.030888404697179794,-0.09705867618322372,0.08970828354358673
assistantbench,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,0.08875605463981628,0.0014782401267439127,0.08874374628067017,0.01445505116134882
assistantbench,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,0.07913004606962204,0.07514160126447678,0.024805305525660515,-0.04026337340474129
assistantbench,99da66d8af02491f98b98c56b26c709e773b5a2ad945fb280375951ba600de09,0.06734964996576309,-0.058439865708351135,-0.03347771242260933,-0.0016528661362826824
assistantbench,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,0.0630459114909172,-0.031061360612511635,-0.054863277822732925,-0.0272874403744936
assistantbench,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,0.02293793112039566,0.022844383493065834,-0.002069498412311077,-0.056603800505399704
colbench_backend_programming,945,0.4153933525085449,-0.41515281796455383,-0.014134297147393227,0.12695766985416412
colbench_backend_programming,451,0.38199323415756226,-0.3459099531173706,0.16206522285938263,0.07132427394390106
colbench_backend_programming,712,0.37997540831565857,-0.3714617192745209,0.07998429238796234,0.07461705803871155
