agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-3593259,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-9641396,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-0851068,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-3849634,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-2414499,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-1175539,1,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-0504157,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-1900704,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-6003668,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-3821950,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-7716865,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-4933686,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,HAL Generalist Agent,gpt-4.1-2025-04-14,corebench_hard,capsule-5507257,0,corebench_hard_hal_generalist_agent_1747200929,2025-05-14,54.607752,45,6,corebench_hard_hal_generalist_agent_1747200929_UPLOAD.zip
