benchmark,task_id,discrimination,easiness,a0,a1,a2,a3,a4,a5,a6,a7
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,1.0491492748260498,-0.7440914511680603,0.46505025029182434,0.28888556361198425,-0.4166583716869354,0.3537628650665283,-0.4464862644672394,-0.2273787260055542,0.3485381007194519,-0.3601461946964264
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,1.0368984937667847,-0.7473253011703491,0.45992016792297363,0.28483226895332336,-0.4120756685733795,0.34951701760292053,-0.44197162985801697,-0.22336235642433167,0.3442502021789551,-0.3560844659805298
assistantbench,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,1.0344994068145752,-0.7346053123474121,0.4607711732387543,0.28358030319213867,-0.4110361933708191,0.34835100173950195,-0.4407998025417328,-0.221781387925148,0.34309080243110657,-0.35490742325782776
assistantbench,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,1.0322247743606567,-0.7507627010345459,0.4590325951576233,0.28307247161865234,-0.4099801480770111,0.3479340374469757,-0.43982574343681335,-0.22155918180942535,0.3426942825317383,-0.3543030917644501
assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,1.031261920928955,-0.7441330552101135,0.4592534899711609,0.2823611795902252,-0.41001784801483154,0.34718120098114014,-0.4399723410606384,-0.22061772644519806,0.3419111371040344,-0.35363683104515076
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,1.03125,-0.7538760304450989,0.45870596170425415,0.2824564576148987,-0.41029760241508484,0.3473961651325226,-0.43972086906433105,-0.22093765437602997,0.34216660261154175,-0.3535671532154083
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,1.0293586254119873,-0.7461522817611694,0.45717906951904297,0.2826341390609741,-0.40913909673690796,0.3468300700187683,-0.43885722756385803,-0.2213038206100464,0.3415648937225342,-0.35321515798568726
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,1.0291590690612793,-0.7449468970298767,0.4584886431694031,0.281721830368042,-0.40937477350234985,0.3465343117713928,-0.4387049376964569,-0.21990534663200378,0.34124553203582764,-0.3530533015727997
assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,1.0281009674072266,-0.7417911291122437,0.4587562084197998,0.2803749442100525,-0.4091023802757263,0.34580057859420776,-0.43934178352355957,-0.2187751680612564,0.34059056639671326,-0.3522721827030182
assistantbench,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,1.0275944471359253,-0.7454800605773926,0.4567938446998596,0.28176045417785645,-0.40855836868286133,0.3461160361766815,-0.4381820261478424,-0.22070667147636414,0.3408908247947693,-0.35250958800315857
assistantbench,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,1.0253394842147827,-0.751997172832489,0.45731258392333984,0.28020933270454407,-0.408007949590683,0.34516027569770813,-0.4372842609882355,-0.21849896013736725,0.33989059925079346,-0.35153648257255554
