benchmark,threshold,discrimination_coverage,n_total,n_needed,n_removed,fraction_needed,cost_reduction
assistantbench,50pct,0.5,33,14,19,0.42424242424242425,0.5757575757575757
assistantbench,70pct,0.7,33,19,14,0.5757575757575758,0.4242424242424242
assistantbench,80pct,0.8,33,21,12,0.6363636363636364,0.36363636363636365
assistantbench,90pct,0.9,33,25,8,0.7575757575757576,0.24242424242424243
colbench_backend_programming,50pct,0.5,1000,274,726,0.274,0.726
colbench_backend_programming,70pct,0.7,1000,388,612,0.388,0.612
colbench_backend_programming,80pct,0.8,1000,457,543,0.457,0.5429999999999999
colbench_backend_programming,90pct,0.9,1000,608,392,0.608,0.392
corebench_hard,50pct,0.5,45,11,34,0.24444444444444444,0.7555555555555555
corebench_hard,70pct,0.7,45,18,27,0.4,0.6
corebench_hard,80pct,0.8,45,22,23,0.4888888888888889,0.5111111111111111
corebench_hard,90pct,0.9,45,29,16,0.6444444444444445,0.3555555555555555
gaia,50pct,0.5,165,33,132,0.2,0.8
gaia,70pct,0.7,165,60,105,0.36363636363636365,0.6363636363636364
gaia,80pct,0.8,165,79,86,0.47878787878787876,0.5212121212121212
gaia,90pct,0.9,165,104,61,0.6303030303030303,0.36969696969696975
online_mind2web,50pct,0.5,336,74,262,0.22023809523809523,0.7797619047619048
online_mind2web,70pct,0.7,336,124,212,0.36904761904761907,0.6309523809523809
online_mind2web,80pct,0.8,336,159,177,0.4732142857142857,0.5267857142857143
online_mind2web,90pct,0.9,336,210,126,0.625,0.375
scicode,50pct,0.5,65,29,36,0.4461538461538462,0.5538461538461539
scicode,70pct,0.7,65,40,25,0.6153846153846154,0.3846153846153846
scicode,80pct,0.8,65,46,19,0.7076923076923077,0.29230769230769227
scicode,90pct,0.9,65,52,13,0.8,0.19999999999999996
scienceagentbench,50pct,0.5,102,25,77,0.24509803921568626,0.7549019607843137
scienceagentbench,70pct,0.7,102,35,67,0.3431372549019608,0.6568627450980392
scienceagentbench,80pct,0.8,102,45,57,0.4411764705882353,0.5588235294117647
scienceagentbench,90pct,0.9,102,59,43,0.5784313725490197,0.42156862745098034
swebench_verified_mini,50pct,0.5,50,11,39,0.22,0.78
swebench_verified_mini,70pct,0.7,50,19,31,0.38,0.62
swebench_verified_mini,80pct,0.8,50,25,25,0.5,0.5
swebench_verified_mini,90pct,0.9,50,35,15,0.7,0.30000000000000004
taubench_airline,50pct,0.5,50,8,42,0.16,0.84
taubench_airline,70pct,0.7,50,15,35,0.3,0.7
taubench_airline,80pct,0.8,50,20,30,0.4,0.6
taubench_airline,90pct,0.9,50,27,23,0.54,0.45999999999999996
usaco,50pct,0.5,307,154,153,0.501628664495114,0.498371335504886
usaco,70pct,0.7,307,215,92,0.7003257328990228,0.2996742671009772
usaco,80pct,0.8,307,246,61,0.8013029315960912,0.19869706840390877
usaco,90pct,0.9,307,277,30,0.9022801302931596,0.09771986970684043
