benchmark,task_id,discrimination,easiness,a0,a1,a2,a3
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,1.0352226495742798,-0.7654283046722412,0.44692182540893555,-0.5691701769828796,-0.4753072261810303,-0.5675166845321655
assistantbench,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,1.032633662223816,-0.7507723569869995,0.4478633403778076,-0.5684005618095398,-0.47674959897994995,-0.5615882873535156
assistantbench,9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,1.0298420190811157,-0.754006028175354,0.44505828619003296,-0.5662699341773987,-0.47217118740081787,-0.5647037625312805
assistantbench,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,1.0283101797103882,-0.7574384212493896,0.44371455907821655,-0.5661007761955261,-0.4718111455440521,-0.5634389519691467
assistantbench,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,1.0272170305252075,-0.7558759450912476,0.4447144865989685,-0.5607213973999023,-0.47298288345336914,-0.5650510191917419
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,1.0264806747436523,-0.7577459216117859,0.4426463842391968,-0.5646982192993164,-0.4714123606681824,-0.5626837015151978
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,1.0249085426330566,-0.7610851526260376,0.44199615716934204,-0.562443733215332,-0.4696766138076782,-0.5640370845794678
assistantbench,fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,1.024847149848938,-0.7626585960388184,0.44388243556022644,-0.5583630204200745,-0.4723341763019562,-0.5642792582511902
assistantbench,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,1.0246542692184448,-0.7607452273368835,0.44156932830810547,-0.5636392831802368,-0.4700203239917755,-0.5624273419380188
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,1.0239076614379883,-0.755425214767456,0.44059962034225464,-0.5628122687339783,-0.4694674015045166,-0.5631178021430969
