agent_id,benchmark,task_id,correct,normalized_model,model_family,normalized_harness,tool_exposure_mechanism,f_agent,effective_task_discrimination,task_easiness,agent_task_logit_contribution,logit,probability
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,1,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.2647598087787628,-0.06232187896966934,-3.3861172199249268,-3.448439098894596,0.030815442872611083
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.569669246673584,-0.04523761197924614,-7.285723686218262,-7.330961298197508,0.0006545150177471802
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5844178199768066,-0.054449282586574554,-7.474349021911621,-7.528798304498196,0.0005370950142598406
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5742396116256714,-0.04738830775022507,-7.344175815582275,-7.3915641233325005,0.0006160512718068038
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5722606182098389,-0.04722638055682182,-7.318865776062012,-7.3660921566188335,0.000631934826854416
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5710306167602539,-0.04699951782822609,-7.303134441375732,-7.3501339592039585,0.0006420937356991989
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5700501799583435,-0.045274410396814346,-7.290595531463623,-7.335869941860437,0.0006513121964616105
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.3565655052661896,0.030675992369651794,-4.560256004333496,-4.529580011963844,0.010670125292357956
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.11691506206989288,-0.0654710903763771,-1.4952726364135742,-1.5607437267899513,0.17353995296850946
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.569029688835144,-0.045489490032196045,-7.277544021606445,-7.323033511638641,0.000659721058835056
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5716041922569275,-0.047840435057878494,-7.3104705810546875,-7.358311016112566,0.0006368680370525272
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.5735654234886169,-0.04763833060860634,-7.335553169250488,-7.383191499859095,0.0006212276726636842
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.08884130418300629,0.22511354088783264,-1.1362262964248657,-0.9111127555370331,0.28677218702705753
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.16669617593288422,0.0009434162639081478,-2.1319427490234375,-2.1309993327595294,0.10612015897801097
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,0,Claude 3.7 Sonnet,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control,12.789392471313477,-0.34509581327438354,0.03432860225439072,-4.413565635681152,-4.379237033426762,0.01237973966733861
