benchmark,task_id,discrimination,easiness,a0,a1
assistantbench,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,1.0108076333999634,-0.7909918427467346,0.7367613911628723,0.6920366883277893
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,1.0099960565567017,-0.7927904725074768,0.7372921109199524,0.690284252166748
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,1.0099411010742188,-0.7778590321540833,0.7393053770065308,0.6880468130111694
assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,1.0098543167114258,-0.786390483379364,0.7352649569511414,0.6922363638877869
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,1.0070065259933472,-0.7869828343391418,0.736462414264679,0.6867934465408325
assistantbench,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,1.0067880153656006,-0.7806898951530457,0.7351731657981873,0.6878535747528076
assistantbench,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,1.0060303211212158,-0.7850277423858643,0.7362306118011475,0.6856103539466858
assistantbench,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,1.0058271884918213,-0.7884063124656677,0.7347805500030518,0.6868667006492615
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,1.0057975053787231,-0.7921082973480225,0.73753821849823,0.6838611364364624
assistantbench,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,1.0055327415466309,-0.7818551659584045,0.7329309582710266,0.6884099245071411
assistantbench,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,1.004317283630371,-0.791710376739502,0.7339200973510742,0.6855760812759399
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,1.003922462463379,-0.7883154153823853,0.7364099025726318,0.682320237159729
