benchmark,task_id,discrimination,easiness,a0
assistantbench,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,0.9632671475410461,-0.8456186056137085,-0.9632671475410461
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,0.9619370698928833,-0.8396770358085632,-0.9619370698928833
assistantbench,fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,0.9600597023963928,-0.8467932343482971,-0.9600597023963928
assistantbench,929b45f34805280d77c61d1e093e3d4e551d77ddb6ecd73552b12b1af286388d,0.9578162431716919,-0.8491222262382507,-0.9578162431716919
assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,0.9556511044502258,-0.8509283065795898,-0.9556511044502258
assistantbench,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,0.9535679221153259,-0.8463748693466187,-0.9535679221153259
assistantbench,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,0.9532300233840942,-0.8455714583396912,-0.9532300233840942
assistantbench,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,0.9529958367347717,-0.8551896810531616,-0.9529958367347717
assistantbench,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,0.952792227268219,-0.8567577004432678,-0.952792227268219
assistantbench,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,0.9521737098693848,-0.84819096326828,-0.9521737098693848
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,0.9521670341491699,-0.858634352684021,-0.9521670341491699
assistantbench,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,0.9518185257911682,-0.8538703322410583,-0.9518185257911682
assistantbench,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,0.9517143964767456,-0.8458952903747559,-0.9517143964767456
assistantbench,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,0.9514434337615967,-0.8591641187667847,-0.9514434337615967
assistantbench,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,0.9501857757568359,-0.8400542736053467,-0.9501857757568359
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,0.948501706123352,-0.8596159219741821,-0.948501706123352
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,0.9480997323989868,-0.8501453995704651,-0.9480997323989868
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,0.9471650719642639,-0.8447957038879395,-0.9471650719642639
assistantbench,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,0.9462384581565857,-0.8483685255050659,-0.9462384581565857
assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,0.9460043907165527,-0.8634244799613953,-0.9460043907165527
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,0.9436230063438416,-0.8572898507118225,-0.9436230063438416
assistantbench,9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,0.9418067336082458,-0.8595439791679382,-0.9418067336082458
assistantbench,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,0.8869947791099548,-0.7699451446533203,-0.8869947791099548
assistantbench,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,0.8658750057220459,-0.7680210471153259,-0.8658750057220459
assistantbench,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,0.857230007648468,-0.7808853983879089,-0.857230007648468
assistantbench,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,0.851675808429718,-0.7766698598861694,-0.851675808429718
assistantbench,6f224e7730ed027cbac73aebb1aea7f954053082041b02b19f4ff126a0a8a208,0.7992089986801147,-0.6946719884872437,-0.7992089986801147
assistantbench,99da66d8af02491f98b98c56b26c709e773b5a2ad945fb280375951ba600de09,0.7805987596511841,-0.6932942271232605,-0.7805987596511841
assistantbench,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,0.7372727990150452,-0.6129471063613892,-0.7372727990150452
assistantbench,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,0.7088115811347961,-0.6473060250282288,-0.7088115811347961
assistantbench,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,0.6340580582618713,-0.5591884255409241,-0.6340580582618713
assistantbench,55f4258484c5b398956133128a50462a767da211f8f72aa5ac5bbffb9bcbba1a,0.5222929120063782,-0.4194868206977844,-0.5222929120063782
assistantbench,8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,0.2962847054004669,-0.2558298110961914,-0.2962847054004669
colbench_backend_programming,941,0.63653963804245,-0.3258938789367676,-0.63653963804245
colbench_backend_programming,539,0.6355538368225098,-0.33546337485313416,-0.6355538368225098
colbench_backend_programming,77,0.6354727745056152,-0.3309829831123352,-0.6354727745056152
colbench_backend_programming,552,0.6343331933021545,-0.33181339502334595,-0.6343331933021545
colbench_backend_programming,34,0.6342592835426331,-0.328510046005249,-0.6342592835426331
colbench_backend_programming,203,0.6335940957069397,-0.3304978013038635,-0.6335940957069397
colbench_backend_programming,253,0.6332057118415833,-0.3401292860507965,-0.6332057118415833
colbench_backend_programming,724,0.6329635381698608,-0.33447229862213135,-0.6329635381698608
colbench_backend_programming,761,0.6328822374343872,0.3312017023563385,0.6328822374343872
colbench_backend_programming,288,0.6323351263999939,0.3277619779109955,0.6323351263999939
colbench_backend_programming,150,0.6320358514785767,-0.3312208652496338,-0.6320358514785767
colbench_backend_programming,28,0.6319767832756042,-0.3316830098628998,-0.6319767832756042
colbench_backend_programming,712,0.6318517327308655,0.33061474561691284,0.6318517327308655
colbench_backend_programming,167,0.6318416595458984,0.3283500373363495,0.6318416595458984
colbench_backend_programming,411,0.6317843198776245,-0.3337252140045166,-0.6317843198776245
colbench_backend_programming,930,0.6315691471099854,-0.32851600646972656,-0.6315691471099854
colbench_backend_programming,102,0.6315401196479797,-0.3341829478740692,-0.6315401196479797
colbench_backend_programming,803,0.6314946413040161,-0.33356955647468567,-0.6314946413040161
colbench_backend_programming,54,0.63144451379776,-0.32587289810180664,-0.63144451379776
