benchmark,task_id,discrimination,easiness,a0
assistantbench,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,0.5844178199768066,-0.054449282586574554,-0.5844178199768066
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,0.5811362266540527,-0.05074146389961243,-0.5811362266540527
assistantbench,fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,0.5760518312454224,-0.047973137348890305,-0.5760518312454224
assistantbench,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,0.5742396116256714,-0.04738830775022507,-0.5742396116256714
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,0.5735654234886169,-0.04763833060860634,-0.5735654234886169
assistantbench,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,0.5735515356063843,-0.047232773154973984,-0.5735515356063843
assistantbench,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,0.5733675956726074,-0.04881710186600685,-0.5733675956726074
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,0.5726187825202942,-0.04733283072710037,-0.5726187825202942
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,0.5724539756774902,-0.04756884276866913,-0.5724539756774902
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,0.5722606182098389,-0.04722638055682182,-0.5722606182098389
assistantbench,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,0.5720122456550598,-0.046013399958610535,-0.5720122456550598
assistantbench,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,0.5716041922569275,-0.047840435057878494,-0.5716041922569275
assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,0.5710306167602539,-0.04699951782822609,-0.5710306167602539
